2024-09-30 13:01:21,527 [my_agent_code] INFO: Loading model from saved state.
2024-09-30 13:01:23,134 [my_agent_code] DEBUG: (np.int64(15), np.int64(15)), UP, 3, 50, 1, 0
2024-09-30 13:01:23,188 [my_agent_code] DEBUG: (np.int64(15), np.int64(14)), UP, 3, 50, 2, 0
2024-09-30 13:01:23,291 [my_agent_code] DEBUG: (np.int64(15), np.int64(13)), LEFT, 3, 49, 3, 0
2024-09-30 13:01:23,390 [my_agent_code] DEBUG: (np.int64(14), np.int64(13)), LEFT, 3, 48, 4, 0
2024-09-30 13:01:23,501 [my_agent_code] DEBUG: (np.int64(13), np.int64(13)), UP, 3, 47, 5, 0
2024-09-30 13:01:23,598 [my_agent_code] DEBUG: (np.int64(13), np.int64(12)), UP, 3, 47, 6, 0
2024-09-30 13:01:23,702 [my_agent_code] DEBUG: (np.int64(13), np.int64(11)), UP, 3, 46, 7, 0
2024-09-30 13:01:23,802 [my_agent_code] DEBUG: (np.int64(13), np.int64(10)), UP, 3, 45, 8, 1
2024-09-30 13:01:23,904 [my_agent_code] DEBUG: (np.int64(13), np.int64(9)), UP, 3, 44, 9, 2
2024-09-30 13:01:24,004 [my_agent_code] DEBUG: (np.int64(13), np.int64(8)), UP, 3, 43, 10, 2
2024-09-30 13:01:24,105 [my_agent_code] DEBUG: (np.int64(13), np.int64(7)), LEFT, 2, 41, 11, 3
2024-09-30 13:01:24,204 [my_agent_code] DEBUG: (np.int64(12), np.int64(7)), LEFT, 2, 40, 12, 3
2024-09-30 13:01:24,306 [my_agent_code] DEBUG: (np.int64(11), np.int64(7)), DOWN, 2, 38, 13, 4
2024-09-30 13:01:24,407 [my_agent_code] DEBUG: (np.int64(11), np.int64(8)), DOWN, 2, 36, 14, 5
2024-09-30 13:01:24,508 [my_agent_code] DEBUG: (np.int64(11), np.int64(9)), DOWN, 2, 35, 15, 5
2024-09-30 13:01:24,608 [my_agent_code] DEBUG: (np.int64(11), np.int64(10)), DOWN, 2, 34, 16, 5
2024-09-30 13:01:24,711 [my_agent_code] DEBUG: (np.int64(11), np.int64(11)), LEFT, 2, 34, 17, 5
2024-09-30 13:01:24,811 [my_agent_code] DEBUG: (np.int64(10), np.int64(11)), LEFT, 2, 33, 18, 6
2024-09-30 13:01:24,914 [my_agent_code] DEBUG: (np.int64(9), np.int64(11)), UP, 2, 31, 19, 7
2024-09-30 13:01:25,010 [my_agent_code] DEBUG: (np.int64(9), np.int64(10)), UP, 2, 30, 20, 7
2024-09-30 13:01:25,115 [my_agent_code] DEBUG: (np.int64(9), np.int64(9)), LEFT, 2, 30, 21, 7
2024-09-30 13:01:25,214 [my_agent_code] DEBUG: (np.int64(8), np.int64(9)), LEFT, 2, 29, 22, 8
2024-09-30 13:01:25,316 [my_agent_code] DEBUG: (np.int64(7), np.int64(9)), DOWN, 2, 29, 23, 8
2024-09-30 13:01:25,417 [my_agent_code] DEBUG: (np.int64(7), np.int64(10)), DOWN, 2, 29, 24, 8
2024-09-30 13:01:25,519 [my_agent_code] DEBUG: (np.int64(7), np.int64(11)), RIGHT, 2, 29, 25, 8
2024-09-30 13:01:25,619 [my_agent_code] DEBUG: (np.int64(8), np.int64(11)), RIGHT, 2, 29, 26, 8
2024-09-30 13:01:25,722 [my_agent_code] DEBUG: (np.int64(9), np.int64(11)), RIGHT, 2, 29, 27, 8
2024-09-30 13:01:25,822 [my_agent_code] DEBUG: (np.int64(10), np.int64(11)), RIGHT, 2, 29, 28, 8
2024-09-30 13:01:25,922 [my_agent_code] DEBUG: (np.int64(11), np.int64(11)), UP, 2, 28, 29, 8
2024-09-30 13:01:26,023 [my_agent_code] DEBUG: (np.int64(11), np.int64(10)), UP, 1, 28, 30, 8
2024-09-30 13:01:26,119 [my_agent_code] DEBUG: (np.int64(11), np.int64(9)), RIGHT, 1, 28, 31, 8
2024-09-30 13:01:26,221 [my_agent_code] DEBUG: (np.int64(12), np.int64(9)), RIGHT, 1, 27, 32, 9
2024-09-30 13:01:26,326 [my_agent_code] DEBUG: (np.int64(13), np.int64(9)), UP, 1, 27, 33, 9
2024-09-30 13:01:26,426 [my_agent_code] DEBUG: (np.int64(13), np.int64(8)), UP, 1, 26, 34, 9
2024-09-30 13:01:26,527 [my_agent_code] DEBUG: (np.int64(13), np.int64(7)), LEFT, 1, 25, 35, 9
2024-09-30 13:01:26,629 [my_agent_code] DEBUG: (np.int64(12), np.int64(7)), RIGHT, 1, 25, 36, 9
2024-09-30 13:01:26,731 [my_agent_code] DEBUG: (np.int64(13), np.int64(7)), DOWN, 1, 24, 37, 9
2024-09-30 13:01:26,829 [my_agent_code] DEBUG: (np.int64(13), np.int64(8)), DOWN, 1, 24, 38, 9
2024-09-30 13:01:26,932 [my_agent_code] DEBUG: (np.int64(13), np.int64(9)), DOWN, 1, 23, 39, 9
2024-09-30 13:01:27,032 [my_agent_code] DEBUG: (np.int64(13), np.int64(10)), DOWN, 1, 23, 40, 9
2024-09-30 13:01:27,133 [my_agent_code] DEBUG: (np.int64(13), np.int64(11)), RIGHT, 1, 22, 41, 9
2024-09-30 13:01:27,236 [my_agent_code] DEBUG: (np.int64(14), np.int64(11)), RIGHT, 1, 21, 42, 10
2024-09-30 13:01:27,335 [my_agent_code] DEBUG: (np.int64(15), np.int64(11)), DOWN, 1, 20, 43, 11
2024-09-30 13:01:27,437 [my_agent_code] DEBUG: (np.int64(15), np.int64(12)), DOWN, 1, 20, 44, 11
2024-09-30 13:01:27,538 [my_agent_code] DEBUG: (np.int64(15), np.int64(13)), LEFT, 1, 20, 45, 11
2024-09-30 13:01:27,631 [my_agent_code] DEBUG: (np.int64(14), np.int64(13)), LEFT, 1, 19, 46, 11
2024-09-30 13:01:27,735 [my_agent_code] DEBUG: (np.int64(13), np.int64(13)), DOWN, 1, 19, 47, 11
2024-09-30 13:01:27,839 [my_agent_code] DEBUG: (np.int64(13), np.int64(14)), DOWN, 1, 18, 48, 11
2024-09-30 13:01:27,939 [my_agent_code] DEBUG: (np.int64(13), np.int64(15)), RIGHT, 1, 17, 49, 11
2024-09-30 13:01:28,041 [my_agent_code] DEBUG: (np.int64(14), np.int64(15)), RIGHT, 1, 15, 50, 12
2024-09-30 13:01:28,143 [my_agent_code] DEBUG: (np.int64(15), np.int64(15)), UP, 1, 15, 51, 12
2024-09-30 13:01:28,240 [my_agent_code] DEBUG: (np.int64(15), np.int64(14)), UP, 1, 15, 52, 12
2024-09-30 13:01:28,343 [my_agent_code] DEBUG: (np.int64(15), np.int64(13)), UP, 1, 14, 53, 12
2024-09-30 13:01:28,442 [my_agent_code] DEBUG: (np.int64(15), np.int64(12)), UP, 1, 14, 54, 12
2024-09-30 13:01:28,544 [my_agent_code] DEBUG: (np.int64(15), np.int64(11)), UP, 1, 13, 55, 12
2024-09-30 13:01:28,646 [my_agent_code] DEBUG: (np.int64(15), np.int64(10)), UP, 1, 13, 56, 12
2024-09-30 13:01:28,746 [my_agent_code] DEBUG: (np.int64(15), np.int64(9)), UP, 1, 13, 57, 12
2024-09-30 13:01:28,847 [my_agent_code] DEBUG: (np.int64(15), np.int64(8)), UP, 1, 13, 58, 12
2024-09-30 13:01:28,949 [my_agent_code] DEBUG: (np.int64(15), np.int64(7)), DOWN, 1, 13, 59, 12
2024-09-30 13:01:29,051 [my_agent_code] DEBUG: (np.int64(15), np.int64(8)), DOWN, 1, 13, 60, 12
2024-09-30 13:01:29,151 [my_agent_code] DEBUG: (np.int64(15), np.int64(9)), UP, 1, 13, 61, 12
2024-09-30 13:01:29,252 [my_agent_code] DEBUG: (np.int64(15), np.int64(8)), UP, 1, 13, 62, 12
2024-09-30 13:01:29,352 [my_agent_code] DEBUG: (np.int64(15), np.int64(7)), LEFT, 1, 12, 63, 12
